CBC,Ciclo Básico Común,0,
83.01,Química,6,CBC
82.01,Física I,8,CBC
81.01,Análisis Matemático II,8,CBC
87.13,Medios de Representación,4,CBC
62.04,Física II B,6,81.01-82.01
81.02,Álgebra II,8,CBC
70.40,Geología Aplicada,4,CBC
79.01,Introducción a la Ingeniería en Petróleo,2,CBC
95.01,Computación,4,CBC
83.04,Química del Petróleo,6,83.01
76.65,Termodinámica Aplicada a los Procesos Petroleros,6,62.04
85.39,Electrotecnia P,4,62.04
81.04,Probabilidad y Estadística B,6,81.01-81.02
79.02,Perforación de Pozos I,6,70.40
89.17,Mecánica de Fluidos,6,76.65
84.05,Estática y Resistencia de Materiales,6,81.01-81.02-82.01-87.13
79.03,Terminación y Reparación de Pozos I,4,79.02
79.06,Geofísica del Petróleo,4,70.40
79.05,Geología del Petróleo,4,70.40-79.01
87.17,Máquinas Térmicas,4,76.65
85.40,Máquinas e Instalaciones Eléctricas,6,85.39
95.13,Métodos Matemáticos y Numéricos,6,82.02-84.05-95.01
79.18,Propiedades de la Roca y los Fluidos de Reservorios,6,79.05-79.06
91.19,Introducción a la Economía y la Organización en la Empresa,4,81.04
79.04,Interpretación de Registros de Pozos,8,79.18-79.02
79.12,Producción de Petróleo,4,79.02
79.19,Ingeniería de Reservorios,6,79.18
79.07,Perforación de Pozos II,4,79.02
79.09,Gas y Condensados,4,89.17-83.04
79.15,Instalaciones de Producción,4,79.12-87.17-85.40
79.20,Ensayos de Pozo,4,95.13-79.12
97.08,Gestión Ambiental para Ingeniería en Petróleo,6,CRED100-CBC
79.21,Recuperación Secundaria y Asistida de Petróleo,6,79.19
79.10,Desarrollo de Yacimientos,6,79.15-79.19
79.22,Simulación Numérica de Reservorios,6,79.19-89.17-95.13
79.08,Ingeniería de Reservorios no Convencionales,4,79.19
79.11,Terminación y Reparación de Pozos II,4,79.03
67.58,Introducción al Método de los Elementos Finitos,6,95.13
77.01,Higiene y Seguridad en el Trabajo,4,CRED100-CBC
79.16,Integridad y Mantenimiento de Instalaciones de Producción,4,79.15
79.17,Caracterización Y Modelado De Reservorios,4,79.22
79.26,Energía Y Civilización,4,79.01
81.05,Análisis Matemático III A,6,81.01-81.02
82.07,Física III B,4,81.02-62.04
89.19,Transporte De Fluidos Por Tuberías,6,76.65-89-17
92.01,Materiales Industriales I,6,84.05-83.01
79.23,Industrialización del Petróleo y del Gas,4,83.04
79.13,Evaluación de Proyectos en Ingeniería en Petróleo,6,91.19
91.44,Herramientas de Gestión Profesional,3,91.19
91.45,Legislación y Ejercicio Profesional de Ingeniería en Petróleo,4,CRED100-CBC
79.24,Tecnología y Sociedad,3,79.11
